[np.float64(-1.2053418094879255e-130), np.float64(0.09881145691249099), np.float64(-0.39693730714567055), np.float64(-4.344949997688012), np.float64(42.18841949874618), np.float64(-0.9807001866300994), np.float64(0.6298785483228657), np.float64(8.6480432626885)]
[np.float64(2.6752879910742468e-09), np.float64(-0.005837356711227961), np.float64(-0.08754074839279222), np.float64(-13.445479079411921), np.float64(134.4568197696), np.float64(-1.703533984491858), np.float64(0.31781957590565124), np.float64(7.334299999999999)]
[np.float64(3.632996088966725e-39), np.float64(0.052954979623783587), np.float64(-0.03471742602885604), np.float64(-13.445479079411921), np.float64(134.4568197696), np.float64(-1.3121593117003751), np.float64(0.3972078612788462), np.float64(5.9223)]
[np.float64(-6.745070613493425e-69), np.float64(0.16601351131004138), np.float64(-0.038206573558230185), np.float64(-20.271498027767795), np.float64(0.4747794703648845), np.float64(-0.9210488877333519), np.float64(0.03700105295954423), np.float64(7.775165050827599)]
[np.float64(-4.29832127303383e-54), np.float64(-0.03907865940041665), np.float64(-0.10503497801337089), np.float64(-11.691040713991779), np.float64(21.25269360212229), np.float64(-2.0511679801871834), np.float64(0.05872322772915434), np.float64(7.5959985084466)]
[np.float64(8.398029678020252e-12), np.float64(-0.046837741334320636), np.float64(-0.10871229938791807), np.float64(-14.409372561095264), np.float64(795.2523086208693), np.float64(-1.5732761219969924), np.float64(0.02976962588275025), np.float64(7.3861207136844)]
[np.float64(8.398029678020252e-12), np.float64(0.064943289392436), np.float64(-0.11133535010641048), np.float64(-14.409372561095264), np.float64(795.2523086208693), np.float64(-1.5694622432599536), np.float64(0.02976962588275025), np.float64(7.3861207136844)]
[np.float64(8.398029678020252e-12), np.float64(-0.063338320967741), np.float64(-0.10871229938791807), np.float64(-14.409372561095264), np.float64(39.59732262678352), np.float64(-1.6630060985984692), np.float64(0.08535235820636201), np.float64(9.7222255812441)]
[np.float64(-4.081389083700521e-09), np.float64(0.4704105034142566), np.float64(-0.033933628535399205), np.float64(-4.02555701687789), np.float64(111.76126500806674), np.float64(-0.9122114372644198), np.float64(0.3900783011557202), np.float64(9.5795490816431)]
[np.float64(-3.1516765791653047e-74), np.float64(0.07618792239855321), np.float64(-0.055504874699182784), np.float64(-23.89707629308266), np.float64(111.76126500806674), np.float64(-1.2218186881508053), np.float64(0.038607804965281045), np.float64(7.220023944553899)]
[np.float64(-3.1516765791653047e-74), np.float64(-0.08145630525126726), np.float64(-0.051949412317375786), np.float64(-23.89707629308266), np.float64(111.76126500806674), np.float64(-1.1635463452317274), np.float64(0.038607804965281045), np.float64(7.220023944553899)]
[np.float64(-3.1516765791653047e-74), np.float64(0.06378535163171183), np.float64(-0.06645530641179495), np.float64(-23.89707629308266), np.float64(111.76126500806674), np.float64(-1.1091381078026739), np.float64(0.038607804965281045), np.float64(7.220023944553899)]
[np.float64(6.904665992157302e-135), np.float64(0.2624688293685197), np.float64(-0.07771308475554811), np.float64(-16.801047750760286), np.float64(42.808561934507495), np.float64(-1.6301450099889512), np.float64(0.04626615714062436), np.float64(7.9502217372341)]
[np.float64(6.904665992157302e-135), np.float64(0.10228312707983936), np.float64(-0.07897397763192436), np.float64(-16.801047750760286), np.float64(42.808561934507495), np.float64(-1.611787277464617), np.float64(0.04626615714062436), np.float64(7.9502217372341)]
[np.float64(6.904665992157302e-135), np.float64(0.08801552092495955), np.float64(-0.08107167776620913), np.float64(-16.801047750760286), np.float64(42.808561934507495), np.float64(-1.6170819511804704), np.float64(0.04626615714062436), np.float64(7.9502217372341)]
[np.float64(0.5404503876130841), np.float64(0.4874825515021212), np.float64(-0.025076234772678015), np.float64(-29.54559516440317), np.float64(1773.8294974135622), np.float64(-0.5622342306315127), np.float64(2.1146925632172984), np.float64(9.7798347140729)]
[np.float64(0.9982335563057408), np.float64(0.3644844440362186), np.float64(-0.07574856091438838), np.float64(-28.56151632884937), np.float64(2067.355049535431), np.float64(-0.29648469308830117), np.float64(2.1146925632172984), np.float64(9.7662345913209)]
